"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 02","55,500","55,300","56,100","55,300","7.45M","0.36%"
"2022- 12- 29","55,300","56,000","56,200","55,300","10.86M","-2.30%"
"2022- 12- 28","56,600","57,500","57,600","56,500","1.11K","-2.58%"
"2022- 12- 27","58,100","58,000","58,400","57,900","1.21K","0.35%"
"2022- 12- 26","57,900","58,000","58,100","57,700","0.56K","-0.34%"
"2022- 12- 25","58,100","58,100","58,100","58,100","","0.00%"
"2022- 12- 23","58,100","58,200","58,400","57,700","9.80M","-1.69%"
"2022- 12- 22","59,100","58,200","59,100","58,100","0.46K","1.90%"
"2022- 12- 21","58,000","58,700","59,100","58,000","0.61K","-1.02%"
"2022- 12- 20","58,600","59,000","59,100","58,500","8.95M","-1.51%"
"2022- 12- 19","59,500","59,500","59,900","59,100","7.12M","0.00%"
"2022- 12- 18","59,500","59,500","59,500","59,500","","0.00%"
"2022- 12- 16","59,500","58,300","59,500","58,300","12.05M","0.34%"
"2022- 12- 15","59,300","59,900","60,200","59,300","0.77K","-1.98%"
"2022- 12- 14","60,500","59,800","60,600","59,800","0.54K","1.34%"
"2022- 12- 13","59,700","59,600","60,300","59,400","0.02K","0.34%"
"2022- 12- 12","59,500","60,000","60,000","59,400","0.46K","-1.49%"
"2022- 12- 11","60,400","60,400","60,400","60,400","","0.00%"
"2022- 12- 09","60,400","59,300","60,600","59,300","10.43M","2.03%"
"2022- 12- 08","59,200","58,800","59,200","58,600","0.49K","0.51%"
"2022- 12- 07","58,900","58,800","59,600","58,500","11.98M","-0.51%"
"2022- 12- 06","59,200","59,900","60,100","59,200","0.95K","-1.82%"
"2022- 12- 05","60,300","60,800","61,100","60,000","1.33K","-0.17%"
"2022- 12- 04","60,400","60,400","60,400","60,400","","0.00%"
"2022- 12- 02","60,400","62,500","62,500","60,400","15.11M","-3.51%"
